#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
2781;J1924+2037g;NAN;NAN;NAN;NAN;54.966;2.325;291.14166667;20.61666667;0.6848;NAN;82.3;NAN;NAN;NAN;0;NAN;2.935;2.935;NAN;fast_gpps;NAN
2782;J1924+2040;NAN;NAN;NAN;43957.49;55.022;2.328;291.16666667;20.6675;0.23779;2.09E-15;226.6;16;28;4;NAN;NAN;5.951;5.951;NAN;ar1,fast_gpps;NAN
2783;J1925+1532g;NAN;NAN;NAN;NAN;50.536;-0.173;291.25;15.53333333;1.6551;NAN;145.9;NAN;NAN;NAN;0.02;NAN;4.202;4.202;NAN;fast_gpps;NAN
2784;J1925-16;NAN;NAN;NAN;55196;22.13;-14.537;291.275;-16.01666667;3.8858;NAN;88;10;NAN;NAN;NAN;NAN;7.935;7.935;NAN;htru_pks;RRAT
2785;J1925+1629g;NAN;NAN;NAN;NAN;51.392;0.243;291.29166667;16.48333333;0.00411;NAN;214.1;NAN;NAN;NAN;0.09;NAN;5.118;5.118;NAN;fast_gpps;NAN
2786;J1925+1636g;NAN;NAN;NAN;NAN;51.567;0.164;291.45;16.6;0.04971;NAN;33.1;NAN;NAN;NAN;0.01;NAN;1.536;1.536;NAN;fast_gpps;NAN
2787;J1925+1720;NAN;NAN;NAN;56700;52.179;0.59;291.36262917;17.34091944;0.075659;1.05E-14;223.3;2.2;NAN;NAN;0.07;NAN;5.06;5.06;GRS:4FGL_J1925.2+1729[sbc+19];palfa;HE[lbh+15,sbc+19]
2788;J1925+19;NAN;NAN;NAN;54346;53.697;1.412;291.35833333;19.06666667;1.916353;NAN;328;NAN;130.2;NAN;NAN;NAN;8.329;8.329;NAN;pksngp;NAN
2789;J1926+0431;NAN;NAN;NAN;57600;40.98;-5.674;291.60196667;4.52542778;1.07408;2.46E-15;102.24;15.8;30.9;22;NAN;NAN;4.995;4.995;NAN;mol2,pkssw,gb4,lotaas;NAN
2790;J1926-0652;NAN;NAN;NAN;58308;30.751;-10.936;291.6543375;-6.87852778;1.608816;3.91E-16;85.3;202;251;NAN;1.01;NAN;5.286;5.286;NAN;fast_uwb;NAN
2791;J1926+0737;NAN;NAN;NAN;54833.6;43.739;-4.256;291.64058333;7.61866667;0.318062;3.75E-16;159;25.4;NAN;NAN;0.11;NAN;8.722;8.722;NAN;pksmb;NAN
2792;J1926-1314;NAN;NAN;NAN;55791;24.922;-13.763;291.7243125;-13.23438889;4.864284;3.64E-14;40.83;NAN;NAN;NAN;NAN;NAN;1.531;1.531;NAN;gb350;NAN
2793;J1926+1434;NAN;NAN;NAN;48717;49.923;-1.039;291.73844133;14.58203825;1.324922;2.19E-16;211.41;16;65.4;9;0.48;NAN;5.649;5.649;NAN;ar1,jb2,ar3,pksmb,palfa;NAN
2794;J1926+1452g;NAN;NAN;NAN;NAN;50.169;-0.896;291.72916667;14.86666667;0.30451;NAN;298.1;NAN;NAN;NAN;0.01;NAN;6.481;6.481;NAN;fast_gpps;NAN
2795;J1926+1613;NAN;NAN;NAN;58936.06;51.364;-0.231;291.7125;16.23333333;0.308304;NAN;24.5;NAN;NAN;NAN;NAN;NAN;1.277;1.277;NAN;palfa,fast_gpps;NAN
2796;J1926+1631g;NAN;NAN;NAN;NAN;51.562;-0.002;291.6;16.51666667;0.67839;NAN;195.1;NAN;NAN;NAN;0.05;NAN;4.822;4.822;NAN;fast_gpps;NAN
2797;J1926+1648;5.942;-15.156;NAN;49857;51.859;0.063;291.68884545;16.80910566;0.579823;1.8E-14;176.88;14.6;25.6;8;1.3;NAN;6;4.495;NAN;ar1,jb2,ar2,ar3,ar4,palfa;NAN
2798;J1926+1857g;NAN;NAN;NAN;NAN;53.768;1.034;291.74583333;18.95;0.27873;NAN;424.2;13.1;NAN;NAN;0.03;NAN;9.569;9.569;NAN;fast_gpps;NAN
2799;J1926+1928;NAN;NAN;NAN;51600;54.158;1.407;291.59508333;19.46991667;1.346012;1.43E-15;445;54;88;0.8;NAN;NAN;10.569;10.569;NAN;ar1;NAN
2800;J1926+2016;NAN;NAN;NAN;53595;54.851;1.802;291.57526667;20.26698056;0.299072;3.5E-15;247;9.7;NAN;NAN;0.12;NAN;5.948;5.948;NAN;pksngp,palfa;NAN
2801;J1927+0911;NAN;NAN;NAN;53454;45.224;-3.705;291.85678333;9.18491667;0.290305;6.35E-17;202.7;3;8;NAN;0.16;NAN;10.939;10.939;NAN;pksmb;NAN
2802;J1927+1430g;NAN;NAN;NAN;NAN;49.933;-1.23;291.91666667;14.5;0.20288;NAN;207.2;NAN;NAN;NAN;0.01;NAN;5.626;5.626;NAN;fast_gpps;NAN
2803;J1927+1852;NAN;NAN;NAN;51600;53.718;0.956;291.793425;18.86902778;0.482766;1.16E-16;264.5;32;52;3.4;0.44;NAN;5.443;5.443;NAN;ar1,ar3,palfa,fast_gpps;NAN
2804;J1927+1856;NAN;NAN;NAN;51600;53.811;0.941;291.85404167;18.94355556;0.298313;2.24E-15;99;9;43;2.2;0.55;NAN;3.1;3.1;NAN;ar1,ar3,palfa;NAN
2805;J1927+2234;NAN;NAN;NAN;42830.5;56.983;2.73;291.78366667;22.58258333;1.431066;7.71E-16;186.5;28;86;6;NAN;NAN;7.222;7.222;NAN;ar1,ar3,gbncc;NAN
2806;J1928-0108;NAN;NAN;NAN;57983;36.133;-8.726;292.078875;-1.14880556;2.365714;2.8E-15;125.8;65;NAN;NAN;0.24;NAN;9.696;9.696;NAN;pks_superb;NAN
2807;J1928+1245;NAN;NAN;NAN;57974;48.534;-2.29;292.18914;12.76482611;0.003022;1.68E-20;179.23;0.28;NAN;NAN;0.08;NAN;6.079;6.079;NAN;palfa;NAN
2808;J1928+1443;NAN;NAN;NAN;56700;50.178;-1.22;292.02829167;14.71980556;1.010739;2.1E-16;101;41.6;NAN;NAN;0.17;NAN;3.079;3.079;NAN;palfa;NAN
2809;J1928+15;NAN;NAN;NAN;54466;50.64;-1.03;292.08333333;15.21666667;0.403;NAN;242;5;NAN;NAN;NAN;NAN;5.746;5.746;NAN;palfa;RRAT
2810;J1928+1746;NAN;NAN;NAN;54770;52.931;0.114;292.17730417;17.77489444;0.06873;1.32E-14;176.68;3.4;NAN;NAN;0.28;NAN;4.337;4.337;GRS:[sbc+19];palfa;HE[sbc+19]
2811;J1928+1809g;NAN;NAN;NAN;NAN;53.191;0.42;292.025;18.15;0.29446;NAN;431.1;NAN;NAN;NAN;0.03;NAN;9.328;9.328;NAN;fast_gpps;NAN
2812;J1928+1816g;NAN;NAN;NAN;NAN;53.301;0.462;292.04166667;18.26666667;0.01054;NAN;346.3;NAN;NAN;NAN;0.03;NAN;7.206;7.206;NAN;fast_gpps;NAN
2813;J1928+1839g;NAN;NAN;NAN;NAN;53.691;0.548;292.15833333;18.65;2.26091;NAN;70;NAN;NAN;NAN;0.01;NAN;2.502;2.502;NAN;fast_gpps;NAN
2814;J1928+1852g;NAN;NAN;NAN;NAN;53.819;0.766;292.02083333;18.86666667;0.79281;NAN;291.6;NAN;NAN;NAN;0.02;NAN;5.834;5.834;NAN;fast_gpps;NAN
2815;J1928+1902g;NAN;NAN;NAN;NAN;53.965;0.845;292.02083333;19.03333333;0.0058;NAN;28.9;NAN;NAN;NAN;0.01;NAN;1.495;1.495;NAN;fast_gpps;NAN
2816;J1928+1915g;NAN;NAN;NAN;NAN;54.259;0.759;292.25;19.25;0.97435;NAN;201;NAN;NAN;NAN;0.01;NAN;4.632;4.632;NAN;fast_gpps;NAN
2817;J1928+1923;NAN;NAN;NAN;53640;54.281;1.016;292.0215125;19.39203333;0.81733;6.35E-15;476.4;30.9;NAN;NAN;0.64;NAN;10.583;10.583;NAN;pksngp,palfa;NAN
2818;J1928+28;NAN;NAN;NAN;NAN;61.86;5.12;292;28;1.063;NAN;79.2;44;56;NAN;NAN;NAN;5.224;5.224;NAN;gbncc;NAN
2819;J1929+00;NAN;NAN;NAN;49717;37.687;-8.253;292.36666667;0.43333333;1.1669;NAN;42.95;19;54;NAN;NAN;NAN;1.497;1.497;NAN;ar4,pkssw,lotaas,gbncc;NAN
2820;J1929+1357;NAN;NAN;NAN;56440;49.633;-1.81;292.29425;13.95997222;0.866927;3.66E-15;150.7;11.5;NAN;NAN;2.2;NAN;4.768;4.768;NAN;palfa;NAN
2821;J1929+16;NAN;NAN;NAN;53480;51.747;-0.692;292.325;16.35;0.529681;NAN;12;20.6;NAN;NAN;NAN;NAN;0.762;0.762;NAN;pksngp;NAN
2822;J1929+1615g;NAN;NAN;NAN;NAN;51.694;-0.803;292.4;16.25;0.0446;NAN;308.7;NAN;NAN;NAN;0.01;NAN;6.109;6.109;NAN;fast_gpps;NAN
2823;J1929+1731g;NAN;NAN;NAN;NAN;52.745;-0.085;292.26666667;17.51666667;3.9954;NAN;431.1;NAN;NAN;NAN;0.01;NAN;9.222;9.222;NAN;fast_gpps;NAN
2824;J1929+1844;NAN;NAN;NAN;51600;53.852;0.461;292.31991667;18.74986111;1.22047;2.36E-15;112;25;49;1.7;NAN;NAN;3.324;3.324;NAN;ar1,lotaas;NAN
2825;J1929+19;NAN;NAN;NAN;59174.39;54.173;0.568;292.38333333;19.08333333;0.339216;NAN;528.4;38.4;NAN;NAN;NAN;NAN;11.736;11.736;NAN;pksngp,fast_gpps;NAN
2826;J1929+1937g;NAN;NAN;NAN;NAN;54.6;0.9;292.29166667;19.61666667;0.56373;NAN;458.1;NAN;NAN;NAN;0.02;NAN;10.042;10.042;NAN;fast_gpps;NAN
2827;J1929+1955;NAN;NAN;NAN;53595;54.879;1.018;292.32321375;19.91886389;0.257832;2.56E-15;281;10.2;NAN;NAN;0.42;NAN;6.603;6.603;NAN;pksngp,palfa;NAN
2828;J1929+2121;NAN;NAN;NAN;53635;56.117;1.751;292.2676625;21.3563;0.723599;2.14E-15;66;15;NAN;NAN;0.23;NAN;2.653;2.653;NAN;pksngp;NAN
2829;J1929+3817;NAN;NAN;NAN;57545;71.174;9.689;292.279225;38.29930556;0.814215;6.1E-16;93.4;26;85;NAN;NAN;NAN;9.321;9.321;NAN;gbncc;NAN
2830;J1929+62;NAN;NAN;NAN;56292;93.758;19.635;292.25;62.26666667;1.456004;NAN;67.7;24;48;1.4;NAN;NAN;11.972;11.972;NAN;gbncc,lotaas;NAN
2831;J1929+66;NAN;NAN;NAN;NAN;97.485;20.947;292.25;66;0.806;NAN;59.6;14;38;NAN;NAN;NAN;7.973;7.973;NAN;gbncc;NAN
2832;J1930+1316;NAN;NAN;NAN;42828.5;49.124;-2.319;292.50394583;13.26975;0.760032;3.66E-15;207.3;17;NAN;5;0.18;NAN;6.339;6.339;NAN;ar1,pksmb;NAN
2833;J1930+1357g;NAN;NAN;NAN;NAN;49.744;-2.032;292.55;13.95;0.32354;NAN;186.6;NAN;NAN;NAN;0.03;NAN;5.601;5.601;NAN;fast_gpps;NAN
2834;J1930+14;NAN;NAN;NAN;58808.38;49.933;-1.961;292.57916667;14.15;0.42572;NAN;214.8;NAN;NAN;NAN;0.04;NAN;5.947;5.947;NAN;palfa,fast_gpps;NAN
2835;J1930+1403g;NAN;NAN;NAN;NAN;49.843;-2.006;292.575;14.05;0.00321;NAN;150.5;NAN;NAN;NAN;0.09;NAN;4.74;4.74;NAN;fast_gpps;NAN
2836;J1930+17;NAN;NAN;NAN;59157.42;52.793;-0.452;292.62916667;17.38333333;1.609723;NAN;197.4;68.6;NAN;NAN;0.12;NAN;4.625;4.625;NAN;pksngp,palfa,fast_gpps;NAN
2837;J1930+1852;NAN;NAN;NAN;52280;54.096;0.265;292.62554167;18.87058333;0.136855;7.51E-13;308;15;NAN;NAN;0.06;NAN;7;6.191;SNR:G54.1+0.3,XRS:;misc;HE
2838;J1930-1852;NAN;NAN;NAN;56513;19.976;-16.873;292.623815;-18.86285278;0.18552;1.8E-17;42.85;NAN;NAN;NAN;NAN;NAN;2.004;2.004;NAN;gb350;NAN
2839;J1930+2441;NAN;-10;16;58177;59.228;3.002;292.68916017;24.68376778;0.005767;8.65E-21;69.57;0.32;NAN;NAN;0.08;NAN;3.268;3.268;NAN;palfa;NAN
2840;J1931-0144;NAN;NAN;NAN;58282;35.974;-9.711;292.8834375;-1.73958333;0.593661;2.93E-17;38.3;22.2;40.5;NAN;0.2;NAN;1.387;1.387;NAN;misc,fast_uwb,gbncc;NAN
2841;J1931+1439;NAN;NAN;NAN;56700;50.539;-2.005;292.91847083;14.66075;1.779226;6.33E-15;243;64.2;NAN;NAN;0.08;NAN;6.123;6.123;NAN;palfa;NAN
2842;J1931+1536;NAN;NAN;NAN;51600;51.406;-1.599;292.982125;15.61597222;0.314355;5.01E-15;140;11;27;1.2;0.36;NAN;4.011;4.011;NAN;ar1,palfa;NAN
2843;J1931+1952;NAN;NAN;NAN;53560;55.134;0.451;292.98276667;19.86986111;0.501123;1.01E-16;441;13;NAN;NAN;0.13;NAN;9.625;9.625;NAN;pksngp,palfa;NAN
2844;J1931+30;NAN;NAN;NAN;49717;64.506;5.674;292.86666667;30.58333333;0.582126;NAN;53;8;22;NAN;NAN;NAN;3.722;3.722;NAN;ar4,gbncc;NAN
2845;J1931+42;NAN;NAN;NAN;NAN;75.15;11.265;292.75;42.5;NAN;NAN;50.9;32;NAN;NAN;NAN;NAN;4.234;4.234;NAN;chime;RRAT[gac+20]
2846;J1932+1059;94.09;42.99;2.77;57600;47.382;-3.885;293.05857083;10.99260556;0.226519;1.16E-15;3.18;5.7;14;303;28.7;NAN;0.31;0.229;NAN;mol1,jb1,ar1,mol2,ar2,ar3,ar4,pksmb;HE[yhh94]
2847;J1932+1500;NAN;NAN;NAN;56700;50.97;-2.071;293.19294583;15.00616667;1.864332;4.59E-16;90.5;50.7;NAN;NAN;0.19;NAN;2.849;2.849;NAN;palfa;NAN
2848;J1932+1756;-13;NAN;NAN;57516;53.464;-0.52;293.03011542;17.93814167;0.041831;4.32E-19;53.19;1.31;NAN;NAN;0.04;NAN;2.116;2.116;NAN;palfa;NAN
2849;J1932+1916;NAN;NAN;NAN;55214;54.661;0.083;293.08208333;19.2775;0.208215;9.32E-14;NAN;NAN;NAN;NAN;0;NAN;NAN;NAN;GRS:4FGL_J1932.3+1916[fermi21];FermiBlind;NRAD
2850;J1932+2020;NAN;NAN;NAN;49887;55.575;0.639;293.03343136;20.34622569;0.268217;4.22E-15;211.15;5;40;29;1.2;NAN;5;4.964;NAN;ar1,jb2,gb3,ar2,ar3,palfa;NAN
2851;J1932+2220;NAN;NAN;NAN;51418;57.356;1.554;293.0947578;22.34763525;0.14447;5.76E-14;218.9;5.7;9.2;7.8;1.2;NAN;10.9;7.991;GRS:4FGL_J1932.2+2221[fermi21];ar1,gb3,ar2,ar3,gbncc;HE[sbc+19]
2852;J1932-3655;NAN;NAN;NAN;57600;2.072;-23.546;293.02553333;-36.91716111;0.571421;2.86E-16;59.88;5.1;28;9;0.7;NAN;6.724;6.724;NAN;pks70,pkssw,gbncc;NAN
2853;J1933+0758;NAN;NAN;NAN;53048;44.845;-5.565;293.3308625;7.96861389;0.437454;2.18E-16;165.02;6.8;14.6;0.34;NAN;NAN;11.157;11.157;NAN;ar4;NAN
2854;J1933+1304;NAN;NAN;NAN;51600;49.351;-3.127;293.34387083;13.08054722;0.928324;3.18E-16;177.01;29;37;2;0.42;NAN;6.084;6.084;NAN;ar1,ar3,pksmb;NAN
2855;J1933+1726;NAN;NAN;NAN;56466;53.179;-1.021;293.34576167;17.44711278;0.021507;4.9E-20;156.9;NAN;NAN;NAN;0.04;NAN;4.072;4.072;NAN;palfa;NAN
2856;J1933+1923g;NAN;NAN;NAN;NAN;54.94;-0.204;293.49166667;19.38333333;0.37173;NAN;97.7;NAN;NAN;NAN;0.02;NAN;3.142;3.142;NAN;fast_gpps;NAN
2857;J1933+2038g;NAN;NAN;NAN;NAN;56.003;0.456;293.425;20.63333333;0.04075;NAN;302.9;NAN;NAN;NAN;0.02;NAN;8.474;8.474;NAN;fast_gpps;NAN
2858;J1933+2421;NAN;NAN;NAN;50629;59.478;2.394;293.40763705;24.6110097;0.81369;8.11E-15;106.03;25.9;40.9;7.5;NAN;NAN;4.639;4.639;NAN;gb3,ar3,gb4,lotaas;NAN
2859;J1933+5335;NAN;NAN;NAN;57546;85.591;15.765;293.25458333;53.59527778;2.052574;1.26E-15;33.54;53;NAN;NAN;NAN;NAN;2.515;2.515;NAN;lotaas;NAN
2860;J1933-6211;-5.54;10.7;NAN;53000;334.431;-28.632;293.38511117;-62.19635444;0.003543;3.87E-21;11.52;0.36;1.03;NAN;2.3;NAN;0.65;0.65;NAN;pkssw;NAN
2861;J1934+19;NAN;NAN;NAN;58995.89;55.022;-0.249;293.575;19.43333333;0.230985;NAN;98.4;NAN;NAN;NAN;0.1;NAN;3.162;3.162;NAN;palfa,fast_gpps;NAN
2862;J1934+2352;NAN;NAN;NAN;54650;58.966;1.814;293.69245833;23.88219444;0.178432;1.31E-13;355.5;4.2;NAN;NAN;0.06;NAN;12.204;12.204;NAN;palfa;NAN
2863;J1934+5219;NAN;NAN;NAN;56525;84.493;15.046;293.59950982;52.33265609;0.568442;8.4E-17;71.26;22;45;NAN;NAN;NAN;7.564;7.564;NAN;gbncc,lotaas;NAN
2864;J1935+1159;NAN;NAN;NAN;53400;48.613;-4.059;293.81698333;11.98588889;1.939758;9.48E-16;188.76;272;NAN;1;0.17;NAN;8.421;8.421;NAN;ar4;NAN
2865;J1935+1616;1.13;-16.09;0.22;52275;52.436;-2.093;293.94927458;16.27777389;0.358738;6E-15;158.52;6;17.7;242;58;NAN;3.7;4.314;NAN;jb1,ar1,mol2,gb3,ar2,ar3,ar4,gb4,pa;NAN
2866;J1935+1726;NAN;NAN;NAN;55314;53.368;-1.374;293.76645;17.44123889;0.0042;NAN;61.6;0.8;NAN;NAN;0.68;NAN;2.305;2.305;NAN;pksngp;NAN
2867;J1935+1745;NAN;NAN;NAN;51600;53.691;-1.313;293.874875;17.75338889;0.654408;3.78E-16;214.6;24;60;1.3;0.16;NAN;4.85;4.85;NAN;ar1,palfa;NAN
2868;J1935+2025;NAN;NAN;NAN;53460;56.051;-0.053;293.92475417;20.42780556;0.080118;6.08E-14;182;2;NAN;NAN;0.5;NAN;4.598;4.598;NAN;pksngp,palfa;NAN
2869;J1935+2154;NAN;NAN;NAN;56866;57.247;0.819;293.732;21.89672222;3.24498;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;XRS:SGR_1935+2154,SNR:G57.2+0.8(?)[gae14;misc;AXP,NRAD
2870;J1936+1536;NAN;NAN;NAN;42830.5;51.879;-2.465;294.00633333;15.61;0.967338;4.04E-15;165;22;NAN;2;NAN;NAN;4.624;4.624;NAN;ar1;NAN
2871;J1936+18;NAN;NAN;NAN;58997.89;54.043;-1.267;294.0125;18.08333333;0.058345;NAN;125.9;NAN;NAN;NAN;NAN;NAN;3.596;3.596;NAN;palfa,fast_gpps;NAN
2872;J1936+1952g;NAN;NAN;NAN;NAN;55.595;-0.388;294;19.86666667;0.00972;NAN;325;NAN;NAN;NAN;0.03;NAN;8.576;8.576;NAN;fast_gpps;NAN
2873;J1936+20;NAN;NAN;NAN;59102.59;56.364;-0.088;294.12083333;20.68333333;1.390733;NAN;195.9;NAN;NAN;NAN;NAN;NAN;4.962;4.962;NAN;palfa,fast_gpps;NAN
2874;J1936+2036g;NAN;NAN;NAN;NAN;56.314;-0.17;294.17083333;20.6;0.03292;NAN;198.8;NAN;NAN;NAN;0.03;NAN;4.996;4.996;NAN;fast_gpps;NAN
2875;J1936+21;NAN;NAN;NAN;58944.05;56.737;0.2;294.04583333;21.15;0.64296;NAN;262.4;19.2;NAN;NAN;NAN;NAN;8.072;8.072;NAN;pksngp,palfa,fast_gpps;NAN
2876;J1936+217;NAN;NAN;NAN;59155.47;57.324;0.311;294.25;21.71666667;0.031582;NAN;75;NAN;NAN;NAN;NAN;NAN;2.968;2.968;NAN;fast_gpps;NAN
2877;J1937-00;NAN;NAN;NAN;56453;37.943;-10.288;294.2875;-0.28333333;0.2401;NAN;68.6;NAN;NAN;NAN;NAN;NAN;3.51;3.51;NAN;AO327;NAN
2878;J1937+1505;NAN;NAN;NAN;51969;51.569;-2.981;294.31795833;15.08861111;2.872774;5.61E-15;237;46;NAN;NAN;0.13;NAN;6.45;6.45;NAN;pksmb;NAN
2879;J1937+1658;-1.8;-5;NAN;57516;53.237;-2.09;294.35378546;16.97848694;0.003958;1.32E-20;105.84;0.4;NAN;NAN;0.09;NAN;3.259;3.259;NAN;palfa;NAN
2880;J1937+2544;-10.04;-13.06;0.32;56000;60.836;2.27;294.25522667;25.73706556;0.20098;6.43E-16;53.22;13;20.1;6.6;1.4;NAN;3.125;2.869;NAN;gb2,ar3,lotaas;NAN
2881;J1937+2950;NAN;NAN;NAN;54250;64.504;4.115;294.44834583;29.83383333;1.657429;3.48E-15;113.99;35;120;NAN;0.08;NAN;7.477;7.477;NAN;misc,gbncc;NAN
2882;J1938+0650;NAN;NAN;NAN;51824;44.386;-7.101;294.47275;6.835;1.121562;5.68E-15;70.8;10;22;3.2;NAN;NAN;2.832;2.832;NAN;ar4,pkssw,lotaas;NAN
2883;J1938+14;NAN;NAN;NAN;59209.2;51.678;-3.154;294.52916667;15.1;2.902504;NAN;75.4;95;NAN;NAN;NAN;NAN;2.575;2.575;NAN;AO327,lotaas,fast_gpps;NAN
2884;J1938+2010;NAN;NAN;NAN;54940;56.115;-0.672;294.53475;20.18102778;0.687082;3.4E-15;327.7;25;NAN;NAN;0.1;NAN;8.812;8.812;NAN;palfa,pksngp;NAN
2885;J1938+2012;NAN;NAN;NAN;56511;56.205;-0.764;294.66700125;20.21411861;0.002634;7.5E-22;236.91;NAN;NAN;NAN;0.02;NAN;6.301;6.301;NAN;palfa;NAN
2886;J1938+2213;NAN;NAN;NAN;53500;57.903;0.308;294.55908333;22.22018889;0.166116;4.24E-14;91;6.8;NAN;1;0.59;NAN;3.419;3.419;NAN;ar4,pksngp,palfa;NAN
2887;J1938+6604;NAN;NAN;NAN;56550;97.946;20.03;294.73717303;66.07547437;0.022259;1.95E-20;41.24;0.48;1.6;NAN;NAN;NAN;3.38;3.38;NAN;gbncc;NAN
2888;J1939+10;NAN;NAN;NAN;49717;47.993;-5.497;294.79583333;10.75;2.31;NAN;90;NAN;NAN;1.2;NAN;NAN;3.552;3.552;NAN;misc;NAN
2889;J1939+2134;0.073;-0.395;0.28;55599;57.509;-0.29;294.91067163;21.58308874;0.001558;1.05E-19;71.09;0.038;0.09;240;15.2;4.7;3.5;2.898;NAN;ar2,ar3,ar4,palfa,gbncc;HE[tst+01]
2890;J1939+2352g;NAN;NAN;NAN;NAN;59.516;0.8;294.95416667;23.86666667;2.14534;NAN;415.5;NAN;NAN;NAN;0.01;NAN;12.266;12.266;NAN;fast_gpps;NAN
2891;J1939+2449;NAN;NAN;NAN;50679;60.174;1.361;294.77331993;24.71544632;0.645302;1.83E-14;142.88;24;34;3;NAN;NAN;7.115;7.115;NAN;ar2,ar3,palfa,gbncc;NAN
2892;J1939+26;NAN;NAN;NAN;59253.18;61.491;1.947;294.925;26.15;0.466961;NAN;47.5;NAN;NAN;NAN;NAN;NAN;2.69;2.69;NAN;palfa,fast_gpps;NAN
2893;J1940+0239;NAN;NAN;NAN;56413;40.945;-9.688;295.1375;2.61138889;1.23224;NAN;87.2;48;60;NAN;NAN;NAN;5.292;5.292;NAN;htru_pks,gb350,lotaas,gbncc;NAN
2894;J1940-0902;NAN;NAN;NAN;57410;30.358;-15.063;295.22720833;-9.03833333;0.978468;1.88E-15;42.3;18.2;NAN;NAN;0.23;NAN;1.859;1.859;NAN;pks_superb;NAN
2895;J1940+2245;NAN;NAN;NAN;56700;58.629;0.127;295.11518333;22.76295;0.258912;1.27E-14;222.4;13;NAN;NAN;0.15;NAN;8.081;8.081;NAN;palfa;NAN
2896;J1940+2337;NAN;NAN;NAN;54560;59.397;0.529;295.14785833;23.62958333;0.546824;7.68E-14;252.1;9.4;NAN;NAN;0.07;NAN;8.468;8.468;NAN;palfa;NAN
2897;J1940-24;NAN;NAN;NAN;NAN;15.854;-20.883;295;-24;0.0982;NAN;53.4;2;4;NAN;NAN;NAN;3.905;3.905;NAN;gbncc;NAN
2898;J1940-2403;NAN;NAN;NAN;49000;15.848;-21.007;295.125;-24.05;1.855276;NAN;63.3;40;70;NAN;NAN;NAN;6.306;6.306;NAN;htru_pks,gbncc;NAN
2899;J1940+26;NAN;NAN;NAN;59253.18;61.432;1.78;295.05416667;26.01666667;0.004814;NAN;171.64;NAN;NAN;NAN;NAN;NAN;7.924;7.924;NAN;palfa,fast_gpps;NAN
2900;J1941+0121;NAN;NAN;NAN;55026;39.909;-10.434;295.31682917;1.36097222;0.217317;1.91E-16;51.87;20.2;29;NAN;NAN;NAN;2.097;2.097;NAN;pks70,gbncc;NAN
2901;J1941-0746;NAN;NAN;NAN;NAN;31.556;-14.548;295.27083333;-7.77194444;NAN;NAN;43.6;NAN;NAN;NAN;NAN;NAN;1.919;1.919;NAN;gbncc;RRAT[mss+20]
2902;J1941+1026;NAN;NAN;NAN;49079.5;48.004;-6.153;295.384725;10.44044444;0.905394;9.96E-16;138.91;11;31;1.8;NAN;NAN;7.971;7.971;NAN;ar3;NAN
2903;J1941+1341;NAN;NAN;NAN;53041;50.799;-4.468;295.27027917;13.69177778;0.559084;1.24E-15;147.9;9;33;NAN;0.17;NAN;5.459;5.459;NAN;pksmb;NAN
2904;J1941+2525;NAN;NAN;NAN;54920;61.037;1.263;295.33666667;25.41813889;2.306153;1.61E-13;314.4;35.6;NAN;NAN;0.24;NAN;11.168;11.168;NAN;palfa;NAN
2905;J1941-2602;12;-10;NAN;50076;13.901;-21.824;295.25169583;-26.03493056;0.402858;9.56E-16;50.04;3.1;12.1;13;1.9;NAN;3.564;3.564;NAN;mol2,pks70,pkssw;NAN
2906;J1941+4320;NAN;NAN;NAN;56375;76.846;9.864;295.49548169;43.33509027;0.840906;1.15E-15;79.36;15;30;NAN;NAN;NAN;6.514;6.514;NAN;gbncc,lotaas;NAN
2907;J1942+0147;NAN;NAN;NAN;56582;40.477;-10.472;295.6125;1.83638889;1.40504;NAN;133.3;40;NAN;NAN;NAN;NAN;25;25;NAN;AO327,htru_pks;NAN
2908;J1942+1743;NAN;NAN;NAN;51600;54.427;-2.68;295.50429167;17.72452778;0.696262;1.01E-16;190;46;92;2.8;NAN;NAN;4.915;4.915;NAN;ar1,ar3;NAN
2909;J1942-2019;NAN;NAN;NAN;57392;19.758;-20.12;295.70975;-20.32305556;0.275133;1.23E-17;59.9;16.9;NAN;NAN;0.54;NAN;4.965;4.965;NAN;pks_superb;NAN
2910;J1942+8106;NAN;NAN;NAN;56500;113.371;24.825;295.72783363;81.10481316;0.203558;3.69E-17;40.24;3;6;NAN;NAN;NAN;3.478;3.478;NAN;gbncc,lotaas;NAN
2911;J1943+0609;NAN;NAN;NAN;51650;44.465;-8.641;295.87138333;6.166;0.446226;4.66E-16;70.76;9.2;22;NAN;0.7;NAN;3.269;3.269;NAN;pkssw,ar4,lotaas;NAN
2912;J1943-1237;NAN;NAN;NAN;48717;27.255;-17.158;295.85617215;-12.62844944;0.972429;1.66E-15;28.92;9.5;22.9;12.9;1.2;NAN;1.204;1.204;NAN;mol2,gb2,pks70,pkssw;NAN
